Wind_Speed_m_s,Power_kW
3,10
4,50
5,100
6,150
7,200
8,230
9,240
10,245
11,248
12,249
13,250
14,250
15,250
16,250
17,250
18,250
19,250
20,250
21,250
22,250
23,250
24,250
25,0
